sp,lon,lat
"Hemithraupis flavicollis (Vieillot, 1818)",-76.30224,-6.46025
"Hemithraupis flavicollis (Vieillot, 1818)",-42.55854,-19.46573
"Hemithraupis flavicollis (Vieillot, 1818)",-67.92026,-14.16525
"Hemithraupis flavicollis (Vieillot, 1818)",-75.06965,6.31018
"Hemithraupis flavicollis (Vieillot, 1818)",-76.2252,-6.42534
"Hemithraupis flavicollis (Vieillot, 1818)",-76.75909,-0.46507
"Hemithraupis flavicollis (Vieillot, 1818)",-67.48688,-14.50003
"Hemithraupis flavicollis (Vieillot, 1818)",-74.28895,5.31977
"Hemithraupis flavicollis (Vieillot, 1818)",-73.77731,2.15264
"Hemithraupis flavicollis (Vieillot, 1818)",-40.47835,-20.30116
"Hemithraupis flavicollis (Vieillot, 1818)",-40.65947,-20.36413
"Hemithraupis flavicollis (Vieillot, 1818)",-76.09663,8.03542
"Hemithraupis flavicollis (Vieillot, 1818)",-74.26199,6.04754
"Hemithraupis flavicollis (Vieillot, 1818)",-42.77093,-22.45095
"Hemithraupis flavicollis (Vieillot, 1818)",-73.98281,3.25422
"Hemithraupis flavicollis (Vieillot, 1818)",-73.98278,3.25411
"Hemithraupis flavicollis (Vieillot, 1818)",-60.33719,-7.76136
"Hemithraupis flavicollis (Vieillot, 1818)",-40.67072,-20.36691
"Hemithraupis flavicollis (Vieillot, 1818)",-43.24475,-22.97715
"Hemithraupis flavicollis (Vieillot, 1818)",-42.3083,-22.50114
"Hemithraupis flavicollis (Vieillot, 1818)",-60.34296,-7.868
"Hemithraupis flavicollis (Vieillot, 1818)",-61.92504,-14.25784
"Hemithraupis flavicollis (Vieillot, 1818)",-76.37592,7.18523
"Hemithraupis flavicollis (Vieillot, 1818)",-76.29198,-6.4203
"Hemithraupis flavicollis (Vieillot, 1818)",-76.1232,7.98465
"Hemithraupis flavicollis (Vieillot, 1818)",-72.90675,-12.39624
"Hemithraupis flavicollis (Vieillot, 1818)",-71.4624,-13.02678
"Hemithraupis flavicollis (Vieillot, 1818)",-74.92725,5.32397
"Hemithraupis flavicollis (Vieillot, 1818)",-43.24416,-22.97694
"Hemithraupis flavicollis (Vieillot, 1818)",-78.64726,-4.26076
"Hemithraupis flavicollis (Vieillot, 1818)",-78.64004,-4.2926
"Hemithraupis flavicollis (Vieillot, 1818)",-74.18282,5.48486
"Hemithraupis flavicollis (Vieillot, 1818)",-40.62091,-20.38223
"Hemithraupis flavicollis (Vieillot, 1818)",-39.05747,-14.42458
"Hemithraupis flavicollis (Vieillot, 1818)",-77.5539,-1.05874
"Hemithraupis flavicollis (Vieillot, 1818)",-77.84662,-1.01593
"Hemithraupis flavicollis (Vieillot, 1818)",-43.00162,-22.49636
"Hemithraupis flavicollis (Vieillot, 1818)",-74.05779,5.67669
"Hemithraupis flavicollis (Vieillot, 1818)",-78.64761,-4.25509
"Hemithraupis flavicollis (Vieillot, 1818)",-74.93044,5.57652
"Hemithraupis flavicollis (Vieillot, 1818)",-74.31968,5.83009
"Hemithraupis flavicollis (Vieillot, 1818)",-42.56452,-22.74037
"Hemithraupis flavicollis (Vieillot, 1818)",-43.03023,-22.52352
"Hemithraupis flavicollis (Vieillot, 1818)",-39.06528,-15.18222
"Hemithraupis flavicollis (Vieillot, 1818)",-77.56393,-1.05769
"Hemithraupis flavicollis (Vieillot, 1818)",-74.98276,5.16778
"Hemithraupis flavicollis (Vieillot, 1818)",-77.55272,-1.0269
"Hemithraupis flavicollis (Vieillot, 1818)",-74.80934,6.04672
"Hemithraupis flavicollis (Vieillot, 1818)",-77.3164,0.02728
"Hemithraupis flavicollis (Vieillot, 1818)",-76.36515,-0.5216
"Hemithraupis flavicollis (Vieillot, 1818)",-39.13033,-14.47856
"Hemithraupis flavicollis (Vieillot, 1818)",-53.60142,-13.45444
"Hemithraupis flavicollis (Vieillot, 1818)",-77.41502,-0.52415
"Hemithraupis flavicollis (Vieillot, 1818)",-53.57168,-13.44711
"Hemithraupis flavicollis (Vieillot, 1818)",-68.2051,-9.99843
"Hemithraupis flavicollis (Vieillot, 1818)",-70.20196,1.271
"Hemithraupis flavicollis (Vieillot, 1818)",-69.99286,-4.08274
"Hemithraupis flavicollis (Vieillot, 1818)",-43.02557,-22.57348
"Hemithraupis flavicollis (Vieillot, 1818)",-69.97824,-4.08904
"Hemithraupis flavicollis (Vieillot, 1818)",-74.21342,6.07348
"Hemithraupis flavicollis (Vieillot, 1818)",-42.03391,-22.42813
"Hemithraupis flavicollis (Vieillot, 1818)",-42.03939,-22.42645
"Hemithraupis flavicollis (Vieillot, 1818)",-76.85937,-2.54166
"Hemithraupis flavicollis (Vieillot, 1818)",-58.68608,-13.79095
"Hemithraupis flavicollis (Vieillot, 1818)",-43.03021,-22.5235
"Hemithraupis flavicollis (Vieillot, 1818)",-75.30328,-10.68992
"Hemithraupis flavicollis (Vieillot, 1818)",-43.1651,-22.58203
"Hemithraupis flavicollis (Vieillot, 1818)",-76.28033,-0.43973
"Hemithraupis flavicollis (Vieillot, 1818)",-69.96747,-4.08351
"Hemithraupis flavicollis (Vieillot, 1818)",-54.01071,2.60265
"Hemithraupis flavicollis (Vieillot, 1818)",-76.31795,-6.41594
"Hemithraupis flavicollis (Vieillot, 1818)",-74.92273,5.32824
"Hemithraupis flavicollis (Vieillot, 1818)",-60.38266,-7.77235
"Hemithraupis flavicollis (Vieillot, 1818)",-74.26102,5.81023
"Hemithraupis flavicollis (Vieillot, 1818)",-74.20777,6.07333
"Hemithraupis flavicollis (Vieillot, 1818)",-42.31408,-22.50442
"Hemithraupis flavicollis (Vieillot, 1818)",-42.97912,-22.52184
"Hemithraupis flavicollis (Vieillot, 1818)",-62.09257,-8.92266
"Hemithraupis flavicollis (Vieillot, 1818)",-40.68247,-20.31389
"Hemithraupis flavicollis (Vieillot, 1818)",-62.08011,-8.92538
"Hemithraupis flavicollis (Vieillot, 1818)",-71.23947,-12.64949
"Hemithraupis flavicollis (Vieillot, 1818)",-73.52146,5.93469
"Hemithraupis flavicollis (Vieillot, 1818)",-41.63634,-21.80873
"Hemithraupis flavicollis (Vieillot, 1818)",-42.31017,-22.466
"Hemithraupis flavicollis (Vieillot, 1818)",-39.01597,-14.3009
"Hemithraupis flavicollis (Vieillot, 1818)",-63.2783,-7.58691
"Hemithraupis flavicollis (Vieillot, 1818)",-42.20427,-22.42907
"Hemithraupis flavicollis (Vieillot, 1818)",-66.06268,-11.34756
"Hemithraupis flavicollis (Vieillot, 1818)",-76.14934,-0.63758
"Hemithraupis flavicollis (Vieillot, 1818)",-38.99456,-14.27952
"Hemithraupis flavicollis (Vieillot, 1818)",-74.86896,5.92772
"Hemithraupis flavicollis (Vieillot, 1818)",-72.6925,2.45393
"Hemithraupis flavicollis (Vieillot, 1818)",-43.2687,-22.92484
"Hemithraupis flavicollis (Vieillot, 1818)",-75.03098,5.15159
"Hemithraupis flavicollis (Vieillot, 1818)",-70.22854,1.22183
"Hemithraupis flavicollis (Vieillot, 1818)",-76.31776,-6.41612
"Hemithraupis flavicollis (Vieillot, 1818)",-40.5619,-19.94356
"Hemithraupis flavicollis (Vieillot, 1818)",-77.68601,7.96726
"Hemithraupis flavicollis (Vieillot, 1818)",-73.66183,-7.4495
"Hemithraupis flavicollis (Vieillot, 1818)",-72.33045,2.50862
"Hemithraupis flavicollis (Vieillot, 1818)",-73.66972,-7.44728
"Hemithraupis flavicollis (Vieillot, 1818)",-43.27348,-22.96125
"Hemithraupis flavicollis (Vieillot, 1818)",-73.42548,6.04004
"Hemithraupis flavicollis peruana Bonaparte, 1851",-76.1459,-0.6376
"Hemithraupis flavicollis (Vieillot, 1818)",-38.98733,-14.28635
"Hemithraupis flavicollis (Vieillot, 1818)",-40.65821,-20.36257
"Hemithraupis flavicollis (Vieillot, 1818)",-74.91702,5.32952
"Hemithraupis flavicollis (Vieillot, 1818)",-74.91709,5.32964
"Hemithraupis flavicollis (Vieillot, 1818)",-74.17239,5.48737
"Hemithraupis flavicollis (Vieillot, 1818)",-42.01461,-21.95183
"Hemithraupis flavicollis (Vieillot, 1818)",-43.30622,-22.78669
"Hemithraupis flavicollis (Vieillot, 1818)",-56.1562,-13.64113
"Hemithraupis flavicollis (Vieillot, 1818)",-42.51278,-22.6269
"Hemithraupis flavicollis (Vieillot, 1818)",-76.15459,7.96275
"Hemithraupis flavicollis (Vieillot, 1818)",-76.15289,7.96797
"Hemithraupis flavicollis (Vieillot, 1818)",-76.15571,7.96118
"Hemithraupis flavicollis (Vieillot, 1818)",-67.96354,3.86089
"Hemithraupis flavicollis (Vieillot, 1818)",-67.97341,3.83614
"Hemithraupis flavicollis (Vieillot, 1818)",-43.31486,-22.5793
"Hemithraupis flavicollis (Vieillot, 1818)",-74.92384,5.32682
"Hemithraupis flavicollis (Vieillot, 1818)",-77.60137,-0.6747
"Hemithraupis flavicollis (Vieillot, 1818)",-78.6452,-4.26236
"Hemithraupis flavicollis (Vieillot, 1818)",-74.91285,5.3183
"Hemithraupis flavicollis (Vieillot, 1818)",-76.18602,-0.01129
"Hemithraupis flavicollis (Vieillot, 1818)",-40.68815,-20.36517
"Hemithraupis flavicollis (Vieillot, 1818)",-76.61981,1.1008
"Hemithraupis flavicollis (Vieillot, 1818)",-74.30248,5.37608
