sp,lon,lat
"Thalurania furcata (J.F.Gmelin, 1788)",-47.47034,-19.83447
"Thalurania furcata (J.F.Gmelin, 1788)",-52.5727,4.90604
"Thalurania furcata (J.F.Gmelin, 1788)",-48.89665,-19.89312
"Thalurania furcata (J.F.Gmelin, 1788)",-55.02478,5.34178
"Thalurania furcata (J.F.Gmelin, 1788)",-77.06748,0.64824
"Thalurania furcata (J.F.Gmelin, 1788)",-47.85881,-15.65548
"Thalurania furcata (J.F.Gmelin, 1788)",-43.88044,-16.73351
"Thalurania furcata (J.F.Gmelin, 1788)",-47.52738,-14.13582
"Thalurania furcata (J.F.Gmelin, 1788)",-76.61942,-0.40553
"Thalurania furcata (J.F.Gmelin, 1788)",-77.80994,-0.70461
"Thalurania furcata (J.F.Gmelin, 1788)",-47.88378,-15.7455
"Thalurania furcata (J.F.Gmelin, 1788)",-76.35807,-6.45124
"Thalurania furcata (J.F.Gmelin, 1788)",-48.89075,-19.93218
"Thalurania furcata (J.F.Gmelin, 1788)",-56.47159,-1.51873
"Thalurania furcata (J.F.Gmelin, 1788)",-58.91007,4.24576
"Thalurania furcata (J.F.Gmelin, 1788)",-77.39762,-1.03538
"Thalurania furcata (J.F.Gmelin, 1788)",-47.83233,-15.87607
"Thalurania furcata (J.F.Gmelin, 1788)",-73.89434,3.81193
"Thalurania furcata (J.F.Gmelin, 1788)",-76.31783,-6.41591
"Thalurania furcata (J.F.Gmelin, 1788)",-50.06258,-6.06961
"Thalurania furcata (J.F.Gmelin, 1788)",-71.39658,-12.89881
"Thalurania furcata (J.F.Gmelin, 1788)",-38.95801,-4.23088
"Thalurania furcata (J.F.Gmelin, 1788)",-76.21348,-6.60723
"Thalurania furcata (J.F.Gmelin, 1788)",-76.35765,-6.4507
"Thalurania furcata (J.F.Gmelin, 1788)",-76.30231,-6.41121
"Thalurania furcata (J.F.Gmelin, 1788)",-58.1749,6.02834
"Thalurania furcata (J.F.Gmelin, 1788)",-51.99579,-6.64782
"Thalurania furcata (J.F.Gmelin, 1788)",-38.93008,-4.24342
"Thalurania furcata (J.F.Gmelin, 1788)",-76.97628,-6.07539
"Thalurania furcata (J.F.Gmelin, 1788)",-69.21198,-12.64821
"Thalurania furcata (J.F.Gmelin, 1788)",-43.38056,-18.02226
"Thalurania furcata (J.F.Gmelin, 1788)",-77.70393,-5.67482
