sp,lon,lat
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.67826,8.01852
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.15755,-7.039
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.79843,8.1972
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.67235,8.18177
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.7561,8.26878
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.72528,8.21048
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.74345,8.21219
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.80384,8.30997
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.78167,-9.24286
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-40.1356,-14.41317
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.75653,8.26408
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.8813,3.8809
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.88121,3.88084
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.07204,-7.90088
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.97329,3.46509
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.8372,-8.72247
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.39182,4.38032
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.32438,4.89616
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-53.21666,3.60955
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-46.73143,-3.28703
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-40.1334,-14.40143
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.01088,0.89897
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.46316,3.69012
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.97923,-3.07612
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-53.23746,3.60958
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.18681,-8.63397
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.06959,-16.48065
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.9042,5.37044
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.76,-9.6135
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-53.26456,3.60338
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.01238,1.46847
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-53.91676,5.72647
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.76052,-9.61176
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.90759,3.85156
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.98645,-3.09727
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.8568,-8.69367
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.91457,3.83028
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.9873,1.48119
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.85251,-8.7173
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.88287,3.88017
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.76032,-9.61313
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-34.84597,-7.13769
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.26836,4.85666
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.76463,-9.60059
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-34.8769,-7.9126
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.41693,4.64348
Picumnus exilis exilis,-40.12867,-14.41232
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-40.13454,-14.41322
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-37.42527,-11.3736
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.62734,5.15959
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-36.47795,-9.30912
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.0277,-14.38764
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.57254,5.09624
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.87775,3.88491
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-34.85902,-7.91954
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.88088,-9.00318
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-40.13097,-14.41612
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.17599,-8.73087
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.85624,-8.69409
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-37.42742,-11.37058
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.41809,4.64345
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.4192,4.6361
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.12593,-16.54412
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-40.07958,-14.43676
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-40.13671,-14.41203
