sp,lon,lat
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.43725,-25.62879
"Thalurania glaucopis (J.F.Gmelin, 1788)",-49.36723,-25.38292
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.60903,-23.43197
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.22319,-22.96681
"Thalurania glaucopis (J.F.Gmelin, 1788)",-45.16922,-23.46948
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.61531,-22.43208
"Thalurania glaucopis (J.F.Gmelin, 1788)",-42.43197,-22.38487
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.59267,-22.46275
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.61514,-22.4321
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.60725,-22.459
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.61533,-22.43208
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.58792,-22.50076
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.01188,-22.26263
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.0496,-22.5576
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.0119,-22.26278
"Thalurania glaucopis (J.F.Gmelin, 1788)",-45.35493,-23.77731
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.46682,-25.6661
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.45645,-25.65383
"Thalurania glaucopis (J.F.Gmelin, 1788)",-40.55321,-19.90721
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.33395,-22.89616
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.33393,-22.89619
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.02147,-24.36396
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.02335,-24.37631
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.02149,-24.36408
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.03174,-24.37394
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.34002,-23.75922
"Thalurania glaucopis (J.F.Gmelin, 1788)",-51.67116,-30.09199
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.21133,-23.65829
"Thalurania glaucopis (J.F.Gmelin, 1788)",-48.43881,-27.59871
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.79299,-23.21366
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.75696,-23.45961
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.4131,-25.59636
"Thalurania glaucopis (J.F.Gmelin, 1788)",-40.67603,-20.41135
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.2269,-22.96696
"Thalurania glaucopis (J.F.Gmelin, 1788)",-40.65821,-20.36257
"Thalurania glaucopis (J.F.Gmelin, 1788)",-53.97572,-25.85787
"Thalurania glaucopis (J.F.Gmelin, 1788)",-50.30439,-29.87049
"Thalurania glaucopis (J.F.Gmelin, 1788)",-53.06063,-25.7511
